order_id,date,time,order_details_id,pizza_id,quantity,pizza_type_id,size,price,tanggal
1,2015-01-01,11:38:36,1,hawaiian_m,1,hawaiian,M,13.25,2015-01-01
77,2015-01-02,12:22:46,179,hawaiian_m,1,hawaiian,M,13.25,2015-01-02
146,2015-01-03,14:22:10,357,hawaiian_m,1,hawaiian,M,13.25,2015-01-03
163,2015-01-03,16:54:54,389,hawaiian_m,1,hawaiian,M,13.25,2015-01-03
247,2015-01-04,20:55:29,568,hawaiian_m,1,hawaiian,M,13.25,2015-01-04
314,2015-01-06,12:11:58,716,hawaiian_m,1,hawaiian,M,13.25,2015-01-06
351,2015-01-06,17:37:29,806,hawaiian_m,1,hawaiian,M,13.25,2015-01-06
377,2015-01-07,12:03:18,856,hawaiian_m,1,hawaiian,M,13.25,2015-01-07
558,2015-01-09,20:51:10,1263,hawaiian_m,1,hawaiian,M,13.25,2015-01-09
580,2015-01-10,13:56:01,1312,hawaiian_m,1,hawaiian,M,13.25,2015-01-10
830,2015-01-14,18:38:17,1872,hawaiian_m,1,hawaiian,M,13.25,2015-01-14
985,2015-01-17,14:34:50,2218,hawaiian_m,1,hawaiian,M,13.25,2015-01-17
1016,2015-01-17,19:44:36,2278,hawaiian_m,1,hawaiian,M,13.25,2015-01-17
1113,2015-01-19,17:00:44,2515,hawaiian_m,1,hawaiian,M,13.25,2015-01-19
1234,2015-01-21,17:36:59,2791,hawaiian_m,1,hawaiian,M,13.25,2015-01-21
1284,2015-01-22,15:53:38,2915,hawaiian_m,1,hawaiian,M,13.25,2015-01-22
1323,2015-01-23,11:45:37,2998,hawaiian_m,1,hawaiian,M,13.25,2015-01-23
1559,2015-01-27,12:34:12,3507,hawaiian_m,1,hawaiian,M,13.25,2015-01-27
1603,2015-01-27,19:16:45,3614,hawaiian_m,1,hawaiian,M,13.25,2015-01-27
1639,2015-01-28,13:37:57,3691,hawaiian_m,1,hawaiian,M,13.25,2015-01-28
1675,2015-01-29,12:26:53,3771,hawaiian_m,1,hawaiian,M,13.25,2015-01-29
1710,2015-01-29,18:58:20,3847,hawaiian_m,1,hawaiian,M,13.25,2015-01-29
1725,2015-01-29,21:27:53,3872,hawaiian_m,1,hawaiian,M,13.25,2015-01-29
1769,2015-01-30,19:28:51,3969,hawaiian_m,1,hawaiian,M,13.25,2015-01-30
1816,2015-01-31,17:59:29,4084,hawaiian_m,1,hawaiian,M,13.25,2015-01-31
1835,2015-01-31,20:28:11,4129,hawaiian_m,1,hawaiian,M,13.25,2015-01-31
1840,2015-01-31,21:01:00,4143,hawaiian_m,1,hawaiian,M,13.25,2015-01-31
1884,2015-02-01,16:34:15,4244,hawaiian_m,1,hawaiian,M,13.25,2015-02-01
2006,2015-02-03,12:35:28,4531,hawaiian_m,1,hawaiian,M,13.25,2015-02-03
2015,2015-02-03,13:23:49,4551,hawaiian_m,1,hawaiian,M,13.25,2015-02-03
2074,2015-02-04,13:41:08,4680,hawaiian_m,1,hawaiian,M,13.25,2015-02-04
2086,2015-02-04,16:38:50,4711,hawaiian_m,1,hawaiian,M,13.25,2015-02-04
2092,2015-02-04,17:31:43,4723,hawaiian_m,1,hawaiian,M,13.25,2015-02-04
2132,2015-02-05,14:18:04,4820,hawaiian_m,1,hawaiian,M,13.25,2015-02-05
2138,2015-02-05,15:08:13,4836,hawaiian_m,1,hawaiian,M,13.25,2015-02-05
2188,2015-02-06,13:13:33,4944,hawaiian_m,1,hawaiian,M,13.25,2015-02-06
2229,2015-02-06,20:16:54,5036,hawaiian_m,1,hawaiian,M,13.25,2015-02-06
2237,2015-02-06,21:37:09,5054,hawaiian_m,1,hawaiian,M,13.25,2015-02-06
2351,2015-02-08,21:52:14,5306,hawaiian_m,1,hawaiian,M,13.25,2015-02-08
2423,2015-02-10,13:04:06,5478,hawaiian_m,1,hawaiian,M,13.25,2015-02-10
2495,2015-02-11,14:50:55,5631,hawaiian_m,1,hawaiian,M,13.25,2015-02-11
2540,2015-02-12,11:48:50,5731,hawaiian_m,1,hawaiian,M,13.25,2015-02-12
2570,2015-02-12,15:54:49,5800,hawaiian_m,2,hawaiian,M,13.25,2015-02-12
2584,2015-02-12,18:25:21,5827,hawaiian_m,1,hawaiian,M,13.25,2015-02-12
2652,2015-02-13,21:00:56,5987,hawaiian_m,1,hawaiian,M,13.25,2015-02-13
2697,2015-02-14,18:43:18,6078,hawaiian_m,1,hawaiian,M,13.25,2015-02-14
2786,2015-02-16,12:18:19,6302,hawaiian_m,1,hawaiian,M,13.25,2015-02-16
2791,2015-02-16,12:53:24,6316,hawaiian_m,1,hawaiian,M,13.25,2015-02-16
2795,2015-02-16,13:44:29,6326,hawaiian_m,1,hawaiian,M,13.25,2015-02-16
2802,2015-02-16,16:01:31,6339,hawaiian_m,1,hawaiian,M,13.25,2015-02-16
2874,2015-02-17,19:03:32,6489,hawaiian_m,1,hawaiian,M,13.25,2015-02-17
2910,2015-02-18,14:32:22,6580,hawaiian_m,1,hawaiian,M,13.25,2015-02-18
2958,2015-02-19,12:56:06,6702,hawaiian_m,1,hawaiian,M,13.25,2015-02-19
2959,2015-02-19,13:01:24,6706,hawaiian_m,1,hawaiian,M,13.25,2015-02-19
3010,2015-02-20,12:26:16,6817,hawaiian_m,1,hawaiian,M,13.25,2015-02-20
3037,2015-02-20,15:16:15,6883,hawaiian_m,1,hawaiian,M,13.25,2015-02-20
3082,2015-02-21,12:37:30,6984,hawaiian_m,1,hawaiian,M,13.25,2015-02-21
3093,2015-02-21,15:07:39,7013,hawaiian_m,1,hawaiian,M,13.25,2015-02-21
3222,2015-02-23,21:19:27,7309,hawaiian_m,1,hawaiian,M,13.25,2015-02-23
3234,2015-02-24,12:34:37,7343,hawaiian_m,1,hawaiian,M,13.25,2015-02-24
3249,2015-02-24,15:18:55,7373,hawaiian_m,1,hawaiian,M,13.25,2015-02-24
3250,2015-02-24,16:09:29,7376,hawaiian_m,1,hawaiian,M,13.25,2015-02-24
3276,2015-02-24,20:46:55,7431,hawaiian_m,1,hawaiian,M,13.25,2015-02-24
3388,2015-02-26,17:53:56,7694,hawaiian_m,1,hawaiian,M,13.25,2015-02-26
3412,2015-02-27,12:40:41,7749,hawaiian_m,1,hawaiian,M,13.25,2015-02-27
3496,2015-02-28,17:01:57,7958,hawaiian_m,1,hawaiian,M,13.25,2015-02-28
3589,2015-03-02,12:46:49,8177,hawaiian_m,1,hawaiian,M,13.25,2015-03-02
3601,2015-03-02,14:04:41,8202,hawaiian_m,1,hawaiian,M,13.25,2015-03-02
3622,2015-03-02,18:06:22,8246,hawaiian_m,1,hawaiian,M,13.25,2015-03-02
3633,2015-03-02,21:03:49,8273,hawaiian_m,1,hawaiian,M,13.25,2015-03-02
3642,2015-03-03,12:24:18,8292,hawaiian_m,1,hawaiian,M,13.25,2015-03-03
3659,2015-03-03,14:03:25,8340,hawaiian_m,1,hawaiian,M,13.25,2015-03-03
3681,2015-03-03,19:11:50,8399,hawaiian_m,1,hawaiian,M,13.25,2015-03-03
3692,2015-03-04,11:31:04,8425,hawaiian_m,1,hawaiian,M,13.25,2015-03-04
3780,2015-03-05,14:39:18,8626,hawaiian_m,1,hawaiian,M,13.25,2015-03-05
3786,2015-03-05,15:48:08,8641,hawaiian_m,1,hawaiian,M,13.25,2015-03-05
3858,2015-03-06,18:42:52,8794,hawaiian_m,2,hawaiian,M,13.25,2015-03-06
3884,2015-03-07,11:52:36,8855,hawaiian_m,1,hawaiian,M,13.25,2015-03-07
3951,2015-03-08,14:14:25,9019,hawaiian_m,1,hawaiian,M,13.25,2015-03-08
3957,2015-03-08,15:02:47,9027,hawaiian_m,1,hawaiian,M,13.25,2015-03-08
3963,2015-03-08,15:59:35,9036,hawaiian_m,1,hawaiian,M,13.25,2015-03-08
3978,2015-03-08,17:55:21,9074,hawaiian_m,2,hawaiian,M,13.25,2015-03-08
4057,2015-03-10,11:28:54,9260,hawaiian_m,2,hawaiian,M,13.25,2015-03-10
4180,2015-03-12,12:00:07,9536,hawaiian_m,1,hawaiian,M,13.25,2015-03-12
4283,2015-03-13,20:00:35,9778,hawaiian_m,1,hawaiian,M,13.25,2015-03-13
4287,2015-03-13,20:22:24,9787,hawaiian_m,1,hawaiian,M,13.25,2015-03-13
4351,2015-03-14,21:05:17,9931,hawaiian_m,1,hawaiian,M,13.25,2015-03-14
4357,2015-03-15,11:49:01,9946,hawaiian_m,1,hawaiian,M,13.25,2015-03-15
4397,2015-03-15,19:49:03,10051,hawaiian_m,1,hawaiian,M,13.25,2015-03-15
4402,2015-03-15,21:26:48,10060,hawaiian_m,1,hawaiian,M,13.25,2015-03-15
4495,2015-03-17,16:09:57,10275,hawaiian_m,1,hawaiian,M,13.25,2015-03-17
4516,2015-03-17,18:59:02,10326,hawaiian_m,1,hawaiian,M,13.25,2015-03-17
